# l,Dl_class_uK2 (setting A, YHe=0.01)
2.000000000000000000e+00,1.006443323140410939e+03
3.000000000000000000e+00,9.718035066665926252e+02
4.000000000000000000e+00,9.384885997558632198e+02
5.000000000000000000e+00,9.146110458820778604e+02
6.000000000000000000e+00,8.993063366294259140e+02
7.000000000000000000e+00,8.907607001573775278e+02
8.000000000000000000e+00,8.871092250015208265e+02
9.000000000000000000e+00,8.871536298636336824e+02
1.000000000000000000e+01,8.900061884771233736e+02
1.200000000000000000e+01,9.025605065457058345e+02
1.400000000000000000e+01,9.210520232781333334e+02
1.600000000000000000e+01,9.443202374848159479e+02
1.800000000000000000e+01,9.703722897252937400e+02
2.000000000000000000e+01,9.993668971572719784e+02
2.200000000000000000e+01,1.030318999764625232e+03
2.400000000000000000e+01,1.063008852228265368e+03
2.600000000000000000e+01,1.097160727465433865e+03
2.800000000000000000e+01,1.132715278532193906e+03
3.000000000000000000e+01,1.169048194574879517e+03
3.500000000000000000e+01,1.264367486115231713e+03
4.000000000000000000e+01,1.365942196814125737e+03
4.500000000000000000e+01,1.471422034552846753e+03
5.000000000000000000e+01,1.582929559707388080e+03
5.500000000000000000e+01,1.698483676514987565e+03
6.000000000000000000e+01,1.820407678027106385e+03
6.500000000000000000e+01,1.947771528141694034e+03
7.000000000000000000e+01,2.081188662811774975e+03
7.500000000000000000e+01,2.221372202291244321e+03
8.000000000000000000e+01,2.368137877408692475e+03
8.500000000000000000e+01,2.521545320541066303e+03
9.000000000000000000e+01,2.681533566501486348e+03
9.500000000000000000e+01,2.848036970518023281e+03
1.000000000000000000e+02,3.020797950632846550e+03
1.100000000000000000e+02,3.382766959640743153e+03
1.200000000000000000e+02,3.761884611840229809e+03
1.300000000000000000e+02,4.150746512991804593e+03
1.400000000000000000e+02,4.539988830369905372e+03
1.500000000000000000e+02,4.919292520000029072e+03
1.600000000000000000e+02,5.277784868453361014e+03
1.700000000000000000e+02,5.604094091609573297e+03
1.800000000000000000e+02,5.888027741253351451e+03
1.900000000000000000e+02,6.119780247651799982e+03
2.000000000000000000e+02,6.291821398065821995e+03
2.100000000000000000e+02,6.397879395138957989e+03
2.200000000000000000e+02,6.434501093823854717e+03
2.300000000000000000e+02,6.400347237174833936e+03
2.400000000000000000e+02,6.296552950033553316e+03
2.500000000000000000e+02,6.126898186575305772e+03
2.600000000000000000e+02,5.897392593513848624e+03
2.700000000000000000e+02,5.615616440539777614e+03
2.800000000000000000e+02,5.291481217786601519e+03
2.900000000000000000e+02,4.936295100034437382e+03
3.000000000000000000e+02,4.560810689895481119e+03
3.250000000000000000e+02,3.614209225348202381e+03
3.500000000000000000e+02,2.791434335924820516e+03
3.750000000000000000e+02,2.223624535656318130e+03
4.000000000000000000e+02,1.964115195393852218e+03
4.250000000000000000e+02,1.994216783110636925e+03
4.500000000000000000e+02,2.225914256124438907e+03
4.750000000000000000e+02,2.541729581785807113e+03
5.000000000000000000e+02,2.820142788399554320e+03
5.250000000000000000e+02,2.971053367298072772e+03
5.500000000000000000e+02,2.958902190726892513e+03
5.750000000000000000e+02,2.798065501117557687e+03
6.000000000000000000e+02,2.552036159573149234e+03
6.250000000000000000e+02,2.301869775968090380e+03
6.500000000000000000e+02,2.129184652072301560e+03
6.750000000000000000e+02,2.085283353411900862e+03
7.000000000000000000e+02,2.182848393618010050e+03
7.250000000000000000e+02,2.393087985870479770e+03
7.500000000000000000e+02,2.653202185926498714e+03
7.750000000000000000e+02,2.888474689610748101e+03
8.000000000000000000e+02,3.027158514590760660e+03
8.250000000000000000e+02,3.025863020667453839e+03
8.500000000000000000e+02,2.871827593356361831e+03
8.750000000000000000e+02,2.590454525737249696e+03
9.000000000000000000e+02,2.233631253249435758e+03
9.250000000000000000e+02,1.866920395543812219e+03
9.500000000000000000e+02,1.553306788987477148e+03
9.750000000000000000e+02,1.336451752452200253e+03
1.000000000000000000e+03,1.236429030799865359e+03
1.025000000000000000e+03,1.241895084779877152e+03
1.050000000000000000e+03,1.321030785305230438e+03
1.075000000000000000e+03,1.427668114986999171e+03
1.100000000000000000e+03,1.516802710899533849e+03
1.125000000000000000e+03,1.553786203842978694e+03
1.150000000000000000e+03,1.521698752760905563e+03
1.175000000000000000e+03,1.425477853325492106e+03
1.200000000000000000e+03,1.285268316919298741e+03
1.225000000000000000e+03,1.132768830044770766e+03
1.250000000000000000e+03,9.990214075853643863e+02
1.275000000000000000e+03,9.092007187729012685e+02
1.300000000000000000e+03,8.743791685495161801e+02
1.325000000000000000e+03,8.911621619837579829e+02
1.350000000000000000e+03,9.437644327106526134e+02
1.375000000000000000e+03,1.008029951726318359e+03
1.400000000000000000e+03,1.059436601789253700e+03
1.425000000000000000e+03,1.077296721503695835e+03
1.450000000000000000e+03,1.051874502587309280e+03
1.475000000000000000e+03,9.834631826505285517e+02
1.500000000000000000e+03,8.829771533979983360e+02
